Year,Date,Assets ,Liabilities
2025,01/31/2025,,
2025,02/28/2025,,
2025,3/31/2025,82.83,-10228.58
2025,4/30/2025,16.7,-11610
2025,5/31/2025,67.14,-13756
2025,6/30/2025,3.8,-12172
2025,7/31/2025,62,-12065
2025,8/31/2025,778,-11010.21
2025,9/30/2025,188,-9883
2025,10/31/2025,51,-10098
2025,11/30/2025,75,-9283
2025,12/31/2025,337,-7187
2026,1/31/2026,30,-5114
2026,2/28/2026,1365,-3994
